region,size(GB),VPU,max_iops,max_throughput(MBps),price($/h),daily_price,weekly_price,monthly_price(730h)
eu-south-2,200,120,45000,351,0.3542,8.5,59.5,258.54
eu-south-2,1000,0,2000,234,0.1271,3.05,21.36,92.8
eu-south-2,1000,10,50000,468,0.4953,11.89,83.22,361.59
eu-south-2,1000,20,50000,585,0.5024,12.06,84.4,366.74
eu-south-2,1000,120,50000,680,0.5081,12.19,85.36,370.92
il-central-1,30,0,60,7,0.0043,0.1,0.73,3.17
il-central-1,30,10,1800,14,0.0043,0.1,0.73,3.17
il-central-1,30,20,2250,17,0.0043,0.1,0.73,3.17
il-central-1,30,120,6750,52,0.0382,0.92,6.42,27.92
il-central-1,200,0,400,46,0.0289,0.69,4.86,21.12
il-central-1,200,10,12000,93,0.1103,2.65,18.53,80.52
il-central-1,200,20,15000,117,0.1374,3.3,23.09,100.32
il-central-1,200,120,45000,351,0.425,10.2,71.4,310.25
il-central-1,1000,0,2000,234,0.1525,3.66,25.63,111.36
il-central-1,1000,10,50000,468,0.5944,14.27,99.86,433.91
il-central-1,1000,20,50000,585,0.6029,14.47,101.28,440.09
il-central-1,1000,120,50000,680,0.6097,14.63,102.43,445.1
me-central-1,30,0,60,7,0.004,0.1,0.67,2.9
me-central-1,30,10,1800,14,0.004,0.1,0.67,2.9
me-central-1,30,20,2250,17,0.004,0.1,0.67,2.9
me-central-1,30,120,6750,52,0.0353,0.85,5.93,25.78
me-central-1,200,0,400,46,0.0265,0.64,4.46,19.36
me-central-1,200,10,12000,93,0.1017,2.44,17.09,74.26
me-central-1,200,20,15000,117,0.1268,3.04,21.3,92.56
me-central-1,200,120,45000,351,0.3925,9.42,65.93,286.5
me-central-1,1000,0,2000,234,0.1398,3.36,23.49,102.08
me-central-1,1000,10,50000,468,0.5481,13.15,92.08,400.1
me-central-1,1000,20,50000,585,0.5558,13.34,93.38,405.76
me-central-1,1000,120,50000,680,0.5621,13.49,94.44,410.36
me-south-1,30,0,60,7,0.004,0.1,0.67,2.9
me-south-1,30,10,1800,14,0.004,0.1,0.67,2.9
me-south-1,30,20,2250,17,0.004,0.1,0.67,2.9
me-south-1,30,120,6750,52,0.0353,0.85,5.93,25.78
me-south-1,200,0,400,46,0.0265,0.64,4.46,19.36
me-south-1,200,10,12000,93,0.1017,2.44,17.09,74.26
me-south-1,200,20,15000,117,0.1268,3.04,21.3,92.56
me-south-1,200,120,45000,351,0.3925,9.42,65.93,286.5
me-south-1,1000,0,2000,234,0.1398,3.36,23.49,102.08
me-south-1,1000,10,50000,468,0.5481,13.15,92.08,400.1
me-south-1,1000,20,50000,585,0.5558,13.34,93.38,405.76
me-south-1,1000,120,50000,680,0.5621,13.49,94.44,410.36
